Rat Gene Symbol	Human Gene Symbol
Acbd3	ACBD3
Acbd4	ACBD4
Acbd5	ACBD5
Acbd6	ACBD6
Acbd7	ACBD7
Accs	ACCS
Accsl	ACCSL
Acd	ACD
Ace	ACE
Ace2	ACE2
Ace3	NA
Acer1	ACER1
Acer2	ACER2
Acer3	ACER3
Ache	ACHE
Acin1	ACIN1
Ackr1	ACKR1
Ackr2	ACKR2
Ackr3	ACKR3
Ackr4	ACKR4
Acly	ACLY
Acmsd	ACMSD
Acnat1	NA
Acnat2	BAAT
Aco1	ACO1
Aco2	ACO2
Acod1	ACOD1
Acot1	ACOT1
Acot11	ACOT11
Acot12	ACOT12
Acot13	ACOT13
Acot2	ACOT2
Acot3	ACOT1
Acot3	ACOT2
Acot3	ACOT6
Acot4	ACOT4
Acot5	ACOT1
Acot5	ACOT4
Acot5	ACOT6
Acot6	ACOT6
Acot7	ACOT7
Acot8	ACOT8
Acot9	ACOT9
Acox1	ACOX1
Acox2	ACOX2
Acox3	ACOX3
Acoxl	ACOXL
Acp1	ACP1
Acp2	ACP2
Acp3	ACP3
Acp4	ACP4
Acp5	ACP5
Acp6	ACP6
Acp7	ACP7
Acr	ACR
Acrbp	ACRBP
Acrv1	ACRV1
Acsbg1	ACSBG1
Acsbg2	ACSBG2
Acsf2	ACSF2
Acsf3	ACSF3
Acsl1	ACSL1
Acsl3	ACSL3
Acsl4	ACSL4
Acsl5	ACSL5
Acsl6	ACSL6
Acsm1	ACSM1
Acsm2	ACSM2A
Acsm3	ACSM3
Acsm4	ACSM4
Acsm5	ACSM5
Acss1	ACSS1
Acss2	ACSS2
Acss3	ACSS3
Acta1	ACTA1
Acta2	ACTA2
Actb	ACTB
Actbl2	ACTBL2
Actc1	ACTC1
Actg1	ACTG1
Actg2	ACTG2
Actl10	ACTL10
Actl11	NA
Actl6a	ACTL6A
Actl6b	ACTL6B
Actl7a	ACTL7A
Actl7b	ACTL7B
Actl9	ACTL9
Actl9b	ACTL9
Actn1	ACTN1
Actn2	ACTN2
Actn3	ACTN3
Actn4	ACTN4
Actr10	ACTR10
Actr1a	ACTR1A
Actr1b	ACTR1B
Actr2	ACTR2
Actr3	ACTR3
Actr3b	ACTR3B
Actr5	ACTR5
Actr6	ACTR6
Actr8	ACTR8
Actrt1	ACTRT1
Actrt2	ACTRT2
Actrt3	ACTRT3
Acvr1	ACVR1
Acvr1b	ACVR1B
Acvr1c	ACVR1C
Acvr2a	ACVR2A
Acvr2b	ACVR2B
Acvrl1	ACVRL1
Acy1	ACY1
Acy3	ACY3
Acyp1	ACYP1
Acyp2	ACYP2
Ada	ADA
Adad1	ADAD1
Adad2	ADAD2
Adal	ADAL
Adam10	ADAM10
Adam11	ADAM11
Adam12	ADAM12
Adam15	ADAM15
Adam17	ADAM17
Adam18	ADAM18
Adam19	ADAM19
Adam1a	ADAM1A
Adam2	ADAM2
Adam20	ADAM20
Adam21	ADAM21
Adam22	ADAM22
Adam23	ADAM23
Adam24	ADAM29
Adam25	NA
Adam26a	NA
Adam28	ADAM28
Adam30	ADAM30
Adam32	ADAM32
Adam33	ADAM33
Adam34	ADAM20
Adam34l	ADAM20
Adam3a	ADAM3A
Adam4	NA
Adam4l1	NA
Adam5	ADAM5
Adam6a	ADAM6
Adam7	ADAM7
Adam8	ADAM8
Adam9	ADAM9
Adamdec1	ADAMDEC1
Adamts1	ADAMTS1
Adamts10	ADAMTS10
Adamts12	ADAMTS12
Adamts13	ADAMTS13
Adamts14	ADAMTS14
Adamts15	ADAMTS15
Adamts16	ADAMTS16
Adamts17	ADAMTS17
Adamts18	ADAMTS18
Adamts19	ADAMTS19
Adamts2	ADAMTS2
Adamts20	ADAMTS20
Adamts3	ADAMTS3
Adamts4	ADAMTS4
Adamts5	ADAMTS5
Adamts6	ADAMTS6
Adamts7	ADAMTS7
Adamts8	ADAMTS8
Adamts9	ADAMTS9
Adamtsl1	ADAMTSL1
Adamtsl2	ADAMTSL2
Adamtsl3	ADAMTSL3
Adamtsl4	ADAMTSL4
Adamtsl5	ADAMTSL5
Adap1	ADAP1
Adap2	ADAP2
Adar	ADAR
Adarb1	ADARB1
Adarb2	ADARB2
Adat1	ADAT1
Adat2	ADAT2
Adat3	ADAT3
Adck1	ADCK1
Adck2	ADCK2
Adck5	ADCK5
Adcy1	ADCY1
Adcy10	ADCY10
Adcy2	ADCY2
Adcy3	ADCY3
Adcy4	ADCY4
Adcy5	ADCY5
Adcy6	ADCY6
Adcy7	ADCY7
Adcy8	ADCY8
Adcy9	ADCY9
Adcyap1	ADCYAP1
Adcyap1r1	ADCYAP1R1
Add1	ADD1
Add2	ADD2
Add3	ADD3
Adgb	ADGB
Adgra1	ADGRA1
Adgra2	ADGRA2
Adgra3	ADGRA3
Adgrb1	ADGRB1
Adgrb2	ADGRB2
Adgrb3	ADGRB3
Adgrd1	ADGRD1
Adgre1	ADGRE1
Adgre4	ADGRE4P
Adgre5	ADGRE5
Adgrf1	ADGRF1
Adgrf2	ADGRF2
Adgrf3	ADGRF3
Adgrf4	ADGRF4
Adgrf5	ADGRF5
Adgrg1	ADGRG1
Adgrg2	ADGRG2
Adgrg3	ADGRG3
Adgrg4	ADGRG4
Adgrg5	ADGRG5
Adgrg6	ADGRG6
Adgrg7	ADGRG7
Adgrl1	ADGRL1
Adgrl2	ADGRL2
Adgrl3	ADGRL3
Adgrl4	ADGRL4
Adgrv1	ADGRV1
Adh1	ADH1C
Adh4	ADH4
Adh5	ADH5
Adh6	ADH6
Adh6a	ADH1A
Adh7	ADH7
Adhfe1	ADHFE1
Adi1	ADI1
Adig	ADIG
Adipoq	ADIPOQ
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adk	ADK
Adm	ADM
Adm2	ADM2
Adnp	ADNP
Adnp2	ADNP2
Ado	ADO
Adora1	ADORA1
Adora2a	ADORA2A
Adora2b	ADORA2B
Adora3	ADORA3
Adpgk	ADPGK
Adprh	ADPRH
Adprhl1	ADPRHL1
Adprm	ADPRM
Adprs	ADPRS
Adra1a	ADRA1A
Adra1b	ADRA1B
Adra1d	ADRA1D
Adra2a	ADRA2A
Adra2b	ADRA2B
Adra2c	ADRA2C
Adrb1	ADRB1
Adrb2	ADRB2
Adrb3	ADRB3
Adrm1	ADRM1
Adsl	ADSL
Adss	ADSS2
Adssl1	ADSS1
Adtrp	ADTRP
Aebp1	AEBP1
Aebp2	AEBP2
Aen	AEN
Afap1	AFAP1
Afap1l1	AFAP1L1
Afap1l2	AFAP1L2
Afdn	AFDN
Aff1	AFF1
Aff1-as1	C4orf36
Aff2	AFF2
Aff3	AFF3
Aff4	AFF4
Afg1l	AFG1L
Afg3l1	NA
Afg3l2	AFG3L2
Afm	AFM
Afmid	AFMID
Afp	AFP
Aftph	AFTPH
Aga	AGA
Agap1	AGAP1
Agap2	AGAP2
Agap3	AGAP3
Agbl1	AGBL1
Agbl2	AGBL2
Agbl3	AGBL3
Agbl4	AGBL4
Agbl4	AGBL4
Agbl5	AGBL5
Ager	AGER
Agfg1	AGFG1
Agfg2	AGFG2
Aggf1	AGGF1
Agk	AGK
Agl	AGL
Agmat	AGMAT
Agmo	AGMO
Ago1	AGO1
Ago2	AGO2
Ago3	AGO3
Ago4	AGO4
Agpat1	AGPAT1
Agpat2	AGPAT2
Agpat3	AGPAT3
Agpat4	AGPAT4
Agpat5	AGPAT5
Agps	AGPS
Agr2	AGR2
Agr3	AGR3
Agrn	AGRN
Agrp	AGRP
Agt	AGT
Agtpbp1	AGTPBP1
Agtr1a	AGTR1
Agtr1b	AGTR1
Agtr2	AGTR2
Agtrap	AGTRAP
Agxt	AGXT
Agxt2	AGXT2
Ahctf1	AHCTF1
Ahcy	AHCY
Ahcyl1	AHCYL1
Ahcyl2	AHCYL2
Ahdc1	AHDC1
Ahi1	AHI1
Ahnak	AHNAK
Ahnak2	AHNAK2
Ahr	AHR
Ahrr	AHRR
Ahsa1	AHSA1
Ahsa2	AHSA2P
Ahsg	AHSG
Ahsp	AHSP
Aicda	AICDA
Aida	AIDA
Aif1	AIF1
Aif1l	AIF1L
Aifm1	AIFM1
Aifm2	AIFM2
Aifm3	AIFM3
Aig1	AIG1
Aim2	AIM2
Aimp1	AIMP1
Aimp2	AIMP2
Aip	AIP
Aipl1	AIPL1
Aire	AIRE
Ajap1	AJAP1
Ajm1	AJM1
Ajuba	AJUBA
Ak1	AK1
Ak2	AK2
Ak3	AK3
Ak4	AK4
Ak5	AK5
Ak6	AK6
Ak7	AK7
Ak8	AK8
Ak9	AK9
Akain1	AKAIN1
Akap1	AKAP1
Akap10	AKAP10
Akap11	AKAP11
Akap12	AKAP12
Akap13	AKAP13
Akap14	AKAP14
Akap17a	AKAP17A
Akap17b	NA
Akap2	PALM2AKAP2
Akap2	PALM2AKAP2
Akap3	AKAP3
Akap4	AKAP4
Akap5	AKAP5
Akap6	AKAP6
Akap7	AKAP7
Akap7	AKAP7
Akap8	AKAP8
Akap8l	AKAP8L
Akap9	AKAP9
Akip1	AKIP1
Akirin1	AKIRIN1
Akirin2	AKIRIN2
Akna	AKNA
Aknad1	AKNAD1
Akp3	ALPG
Akr1a1	AKR1A1
Akr1b1	AKR1B1
Akr1b10	AKR1B10
Akr1b7	AKR1B15
Akr1b8	AKR1B10
Akr1b8	AKR1B15
Akr1c1	AKR1C4
Akr1c12	AKR1C1
Akr1c12	AKR1C2
Akr1c12	AKR1C3
Akr1c12	AKR1C4
Akr1c12l1	AKR1C1
Akr1c12l1	AKR1C2
Akr1c12l1	AKR1C3
Akr1c12l1	AKR1C4
Akr1c13	AKR1C1
Akr1c13	AKR1C2
Akr1c13	AKR1C3
Akr1c13	AKR1C4
Akr1c14	AKR1C1
Akr1c14	AKR1C2
Akr1c14	AKR1C3
Akr1c14	AKR1C4
Akr1c15	AKR1C8P
Akr1c19	AKR1C1
Akr1c19	AKR1C2
Akr1c19	AKR1C3
Akr1c19	AKR1C4
Akr1c2	AKR1C2
Akr1c3	AKR1C3
Akr1d1	AKR1D1
Akr1e2	AKR1E2
Akr7a2	AKR7A2
Akr7a3	AKR7A3
Akt1	AKT1
Akt1s1	AKT1S1
Akt2	AKT2
Akt3	AKT3
Aktip	AKTIP
Alad	ALAD
Alas1	ALAS1
Alas2	ALAS2
Alb	ALB
Alcam	ALCAM
Aldh16a1	ALDH16A1
Aldh18a1	ALDH18A1
Aldh1a1	ALDH1A1
Aldh1a2	ALDH1A2
Aldh1a3	ALDH1A3
Aldh1a7	ALDH1A1
Aldh1b1	ALDH1B1
Aldh1l1	ALDH1L1
Aldh1l2	ALDH1L2
Aldh2	ALDH2
Aldh3a1	ALDH3A1
Aldh3a2	ALDH3A2
Aldh3b1	ALDH3B1
Aldh3b2	ALDH3B2
Aldh4a1	ALDH4A1
Aldh5a1	ALDH5A1
Aldh6a1	ALDH6A1
Aldh7a1	ALDH7A1
Aldh8a1	ALDH8A1
Aldh9a1	ALDH9A1
Aldoa	ALDOA
Aldoart2	ALDOA
Aldob	ALDOB
Aldoc	ALDOC
Alg1	ALG1
Alg10	ALG10
Alg11	ALG11
Alg12	ALG12
Alg13	ALG13
Alg14	ALG14
Alg2	ALG2
Alg3	ALG3
Alg5	ALG5
Alg6	ALG6
Alg8	ALG8
Alg9	ALG9
Alk	ALK
Alkal1	ALKAL1
Alkal2	ALKAL2
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Alkbh4	ALKBH4
Alkbh5	ALKBH5
Alkbh6	ALKBH6
Alkbh7	ALKBH7
Alkbh8	ALKBH8
Allc	ALLC
Alms1	ALMS1
Alox12	ALOX12
Alox12b	ALOX12B
Alox12e	ALOX15
Alox15	ALOX15
Alox15b	ALOX15B
Alox5	ALOX5
Alox5ap	ALOX5AP
Aloxe3	ALOXE3
Alpg	ALPG
Alpi	ALPI
Alpk1	ALPK1
Alpk2	ALPK2
Alpk3	ALPK3
Alpl	ALPL
Alpp	ALPP
Als2	ALS2
Als2cl	ALS2CL
Alx1	ALX1
Alx3	ALX3
Alx4	ALX4
Alyref	ALYREF
Amacr	AMACR
Ambn	AMBN
Ambp	AMBP
Ambra1	AMBRA1
Amd1	AMD1
Amdhd1	AMDHD1
Amdhd2	AMDHD2
Amelx	AMELX
Amer1	AMER1
Amer2	AMER2
Amer3	AMER3
Amfr	AMFR
Amh	AMH
Amhr2	AMHR2
Amigo1	AMIGO1
Amigo2	AMIGO2
Amigo3	AMIGO3
Ammecr1	AMMECR1
Ammecr1l	AMMECR1L
Amn	AMN
Amn1	AMN1
Amot	AMOT
Amotl1	AMOTL1
Amotl2	AMOTL2
Ampd1	AMPD1
Ampd2	AMPD2
Ampd3	AMPD3
Amph	AMPH
Amt	AMT
Amtn	AMTN
Amy1a	AMY2B
Amy2a3	AMY1A
Amz1	AMZ1
Amz2	AMZ2
Anapc1	ANAPC1
Anapc10	ANAPC10
Anapc11	ANAPC11
Anapc13	ANAPC13
Anapc15	ANAPC15
Anapc16	ANAPC16
Anapc2	ANAPC2
Anapc4	ANAPC4
Anapc5	ANAPC5
Anapc7	ANAPC7
Ancv1r	NA
Andpro	CST1
Andpro	CST2
Andpro	CST3
Andpro	CST4
Andpro	CST5
Ang	ANG
Ang2	ANG
Angel1	ANGEL1
Angel2	ANGEL2
Angpt1	ANGPT1
Angpt2	ANGPT2
Angpt4	ANGPT4
Angptl1	ANGPTL1
Angptl2	ANGPTL2
Angptl3	ANGPTL3
Angptl4	ANGPTL4
Angptl6	ANGPTL6
Angptl7	ANGPTL7
Angptl8	ANGPTL8
Ank1	ANK1
Ank2	ANK2
Ank3	ANK3
Ankar	ANKAR
Ankdd1a	ANKDD1A
Ankdd1b	ANKDD1B
Ankef1	ANKEF1
Ankfn1	ANKFN1
Ankfy1	ANKFY1
Ankh	ANKH
Ankhd1	ANKHD1
Ankib1	ANKIB1
Ankk1	ANKK1
Ankle1	ANKLE1
Ankle2	ANKLE2
Ankmy1	ANKMY1
Ankmy2	ANKMY2
Ankra2	ANKRA2
Ankrd1	ANKRD1
Ankrd10	ANKRD10
Ankrd11	ANKRD11
Ankrd12	ANKRD12
Ankrd13a	ANKRD13A
Ankrd13b	ANKRD13B
Ankrd13c	ANKRD13C
Ankrd13d	ANKRD13D
Ankrd16	ANKRD16
Ankrd17	ANKRD17
Ankrd2	ANKRD2
Ankrd22	ANKRD22
Ankrd23	ANKRD23
Ankrd24	ANKRD24
Ankrd26	ANKRD26
Ankrd27	ANKRD27
Ankrd28	ANKRD28
Ankrd29	ANKRD29
Ankrd30a	ANKRD30A
Ankrd31	ANKRD31
Ankrd33	ANKRD33
Ankrd33b	ANKRD33B
Ankrd34a	ANKRD34A
Ankrd34b	ANKRD34B
Ankrd34c	ANKRD34C
Ankrd35	ANKRD35
Ankrd36	ANKRD36
Ankrd37	ANKRD37
Ankrd39	ANKRD39
Ankrd40	ANKRD40
Ankrd42	ANKRD42
Ankrd44	ANKRD44
Ankrd45	ANKRD45
Ankrd46	ANKRD46
Ankrd49	ANKRD49
Ankrd50	ANKRD50
Ankrd52	ANKRD52
Ankrd54	ANKRD54
Ankrd55	ANKRD55
Ankrd6	ANKRD6
Ankrd60	ANKRD60
Ankrd61	ANKRD61
Ankrd63	ANKRD63
Ankrd65	ANKRD65
Ankrd66	ANKRD66
Ankrd7	ANKRD7
Ankrd9	ANKRD9
Anks1a	ANKS1A
Anks1b	ANKS1B
Anks3	ANKS3
Anks4b	ANKS4B
Anks6	ANKS6
Ankub1	ANKUB1
Ankzf1	ANKZF1
Anln	ANLN
Anlnl1	ANLN
Ano1	ANO1
Ano10	ANO10
Ano2	ANO2
Ano3	ANO3
Ano4	ANO4
Ano5	ANO5
Ano6	ANO6
Ano7	ANO7
Ano8	ANO8
Ano9	ANO9
Anos1	ANOS1
Anp32a	ANP32A
Anp32b	ANP32B
Anp32e	ANP32E
Anpep	ANPEP
Antkmt	ANTKMT
Antxr1	ANTXR1
Antxr2	ANTXR2
Antxrl	ANTXRL
Anxa1	ANXA1
Anxa10	ANXA10
Anxa11	ANXA11
Anxa13	ANXA13
Anxa2	ANXA2
Anxa3	ANXA3
Anxa4	ANXA4
Anxa5	ANXA5
Anxa6	ANXA6
Anxa7	ANXA7
Anxa8	ANXA8
Anxa9	ANXA9
Aoah	AOAH
Aoc1	AOC1
Aoc3	AOC3
Aopep	AOPEP
Aox1	AOX1
Aox2	NA
Aox3	NA
Aox4	NA
Ap1ar	AP1AR
Ap1b1	AP1B1
Ap1g1	AP1G1
Ap1g2	AP1G2
Ap1m1	AP1M1
Ap1m2	AP1M2
Ap1s1	AP1S1
Ap1s2	AP1S2
Ap1s3	AP1S3
Ap2a1	AP2A1
Ap2a2	AP2A2
Ap2b1	AP2B1
Ap2m1	AP2M1
Ap2s1	AP2S1
Ap3b1	AP3B1
Ap3b2	AP3B2
Ap3d1	AP3D1
Ap3m1	AP3M1
Ap3m2	AP3M2
Ap3s1	AP3S1
Ap3s2	AP3S2
Ap4b1	AP4B1
Ap4e1	AP4E1
Ap4m1	AP4M1
Ap4s1	AP4S1
Ap5b1	AP5B1
Ap5m1	AP5M1
Ap5s1	AP5S1
Ap5z1	AP5Z1
Apaf1	APAF1
Apba1	APBA1
Apba2	APBA2
Apba3	APBA3
Apbb1	APBB1
Apbb1ip	APBB1IP
Apbb2	APBB2
Apbb3	APBB3
Apbh	NA
Apc	APC
Apc2	APC2
Apcdd1	APCDD1
Apcdd1l	APCDD1L
Apcs	APCS
Apeh	APEH
Apex1	APEX1
Apex2	APEX2
Apex2l1	NA
Aph1a	APH1A
Aph1b	APH1B
Api5	API5
Apip	APIP
Aplf	APLF
Apln	APLN
Aplnr	APLNR
Aplp1	APLP1
Aplp2	APLP2
Apmap	APMAP
Apoa1	APOA1
Apoa2	APOA2
Apoa4	APOA4
Apoa5	APOA5
Apob	APOB
Apobec1	APOBEC1
Apobec2	APOBEC2
Apobec3	APOBEC3H
Apobec4	APOBEC4
Apobr	APOBR
Apoc1	APOC1
Apoc2	APOC2
Apoc3	APOC3
Apoc4	APOC4
Apod	APOD
Apoe	APOE
Apof	APOF
Apoh	APOH
Apol11a	APOL1
Apol11a	APOL2
Apol11a	APOL3
Apol11a	APOL4
Apol2	APOL1
Apol2	APOL2
Apol2	APOL3
Apol2	APOL4
Apol3	APOL3
Apol9a	APOL1
Apol9a	APOL2
Apol9a	APOL3
Apol9a	APOL4
Apold1	APOLD1
Apom	APOM
Apon	APOF
Apoo	APOO
Apool	APOOL
App	APP
Appbp2	APPBP2
Appl1	APPL1
Appl2	APPL2
Aprt	APRT
Aptx	APTX
Aqp1	AQP1
Aqp11	AQP11
Aqp12a	AQP12A
Aqp2	AQP2
Aqp3	AQP3
Aqp4	AQP4
Aqp5	AQP5
Aqp6	AQP6
Aqp7	AQP7
Aqp8	AQP8
Aqp9	AQP9
Aqr	AQR
Ar	AR
Araf	ARAF
Arap1	ARAP1
Arap2	ARAP2
Arap3	ARAP3
Arc	ARC
Arcn1	ARCN1
Areg	AREG
Arel1	AREL1
Arf1	ARF1
Arf2	ARL17B
Arf3	ARF3
Arf4	ARF4
Arf5	ARF5
Arf6	ARF6
Arfgap1	ARFGAP1
Arfgap2	ARFGAP2
Arfgap3	ARFGAP3
Arfgef1	ARFGEF1
Arfgef2	ARFGEF2
Arfgef3	ARFGEF3
Arfip1	ARFIP1
Arfip2	ARFIP2
Arfrp1	ARFRP1
Arg1	ARG1
Arg2	ARG2
Arglu1	ARGLU1
Arhgap1	ARHGAP1
Arhgap10	ARHGAP10
Arhgap11a	ARHGAP11A
Arhgap12	ARHGAP12
Arhgap15	ARHGAP15
Arhgap17	ARHGAP17
Arhgap18	ARHGAP18
Arhgap19	ARHGAP19
Arhgap20	ARHGAP20
Arhgap21	ARHGAP21
Arhgap22	ARHGAP22
Arhgap23	ARHGAP23
Arhgap24	ARHGAP24
Arhgap25	ARHGAP25
Arhgap26	ARHGAP26
Arhgap27	ARHGAP27
Arhgap28	ARHGAP28
Arhgap29	ARHGAP29
Arhgap30	ARHGAP30
Arhgap31	ARHGAP31
Arhgap32	ARHGAP32
Arhgap33	ARHGAP33
Arhgap35	ARHGAP35
Arhgap36	ARHGAP36
Arhgap39	ARHGAP39
Arhgap4	ARHGAP4
Arhgap40	ARHGAP40
Arhgap42	ARHGAP42
Arhgap44	ARHGAP44
Arhgap45	ARHGAP45
Arhgap5	ARHGAP5
Arhgap6	ARHGAP6
Arhgap8	ARHGAP8
Arhgap9	ARHGAP9
Arhgdia	ARHGDIA
Arhgdib	ARHGDIB
Arhgdig	ARHGDIG
Arhgef1	ARHGEF1
Arhgef10	ARHGEF10
Arhgef10l	ARHGEF10L
Arhgef11	ARHGEF11
Arhgef12	ARHGEF12
Arhgef15	ARHGEF15
Arhgef16	ARHGEF16
Arhgef17	ARHGEF17
Arhgef18	ARHGEF18
Arhgef19	ARHGEF19
Arhgef2	ARHGEF2
Arhgef25	ARHGEF25
Arhgef26	ARHGEF26
Arhgef28	ARHGEF28
Arhgef3	ARHGEF3
Arhgef33	ARHGEF33
Arhgef37	ARHGEF37
Arhgef38	ARHGEF38
Arhgef39	ARHGEF39
Arhgef4	ARHGEF4
Arhgef40	ARHGEF40
Arhgef5	ARHGEF5
Arhgef6	ARHGEF6
Arhgef7	ARHGEF7
Arhgef9	ARHGEF9
Arid1a	ARID1A
Arid1b	ARID1B
Arid2	ARID2
Arid3a	ARID3A
Arid3b	ARID3B
Arid3c	ARID3C
Arid4a	ARID4A
Arid4b	ARID4B
Arid5a	ARID5A
Arid5b	ARID5B
Arih1	ARIH1
Arih2	ARIH2
Arih2os	ARIH2OS
Arl1	ARL1
Arl10	ARL10
Arl11	ARL11
Arl13a	ARL13A
Arl13b	ARL13B
Arl14	ARL14
Arl14ep	ARL14EP
Arl14epl	ARL14EPL
Arl15	ARL15
Arl16	ARL16
Arl2	ARL2
Arl2bp	ARL2BP
Arl3	ARL3
Arl4a	ARL4A
Arl4c	ARL4C
Arl4d	ARL4D
Arl5a	ARL5A
Arl5b	ARL5B
Arl5c	ARL5C
Arl6	ARL6
Arl6ip1	ARL6IP1
Arl6ip4	ARL6IP4
Arl6ip5	ARL6IP5
Arl6ip6	ARL6IP6
Arl8a	ARL8A
Arl8b	ARL8B
Arl9	ARL9
Armc1	ARMC1
Armc10	ARMC10
Armc12	ARMC12
Armc2	ARMC2
Armc3	ARMC3
Armc5	ARMC5
Armc6	ARMC6
Armc7	ARMC7
Armc8	ARMC8
Armc9	ARMC9
Armcx1	ARMCX1
Armcx2	ARMCX2
Armcx3	ARMCX3
Armcx4	ARMCX4
Armcx5	ARMCX5
Armcx6	ARMCX6
Armh1	ARMH1
Armh2	ARMH2
Armh3	ARMH3
Armh4	ARMH4
Armt1	ARMT1
Arnt	ARNT
Arnt2	ARNT2
Arntl	ARNTL
Arntl2	ARNTL2
Arpc1a	ARPC1A
Arpc1b	ARPC1B
Arpc2	ARPC2
Arpc3	ARPC3
Arpc4	ARPC4
Arpc5	ARPC5
Arpc5l	ARPC5L
Arpin	ARPIN
Arpp19	ARPP19
Arpp21	ARPP21
Arr3	ARR3
Arrb1	ARRB1
Arrb2	ARRB2
Arrdc1	ARRDC1
Arrdc2	ARRDC2
Arrdc3	ARRDC3
Arrdc4	ARRDC4
Arrdc5	ARRDC5
Arsa	ARSA
Arsb	ARSB
Arse	ARSL
Arsg	ARSG
Arsi	ARSI
Arsj	ARSJ
Arsk	ARSK
Art1	ART1
Art2b	ART3
Art3	ART3
Art4	ART4
Art5	ART5
Artn	ARTN
Arv1	ARV1
Arvcf	ARVCF
Arx	ARX
Arxes2	SPCS3
As3mt	AS3MT
Asah1	ASAH1
Asah2	ASAH2
Asap1	ASAP1
Asap2	ASAP2
Asap3	ASAP3
Asb1	ASB1
Asb10	ASB10
Asb11	ASB11
Asb12	ASB12
Asb13	ASB13
Asb14	ASB14
Asb15	ASB15
Asb16	ASB16
Asb17	ASB17
Asb18	ASB18
Asb2	ASB2
Asb3	ASB3
Asb4	ASB4
Asb5	ASB5
Asb6	ASB6
Asb7	ASB7
Asb8	ASB8
Asb9	ASB9
Ascc1	ASCC1
Ascc2	ASCC2
Ascc3	ASCC3
Ascl1	ASCL1
Ascl2	ASCL2
Ascl3	ASCL3
Ascl4	ASCL4
Ascl5	ASCL5
Asf1a	ASF1A
